"Muestra" "Conc."
"1" 1 154.878488612082
"2" 2 147.233499484566
"3" 3 157.365581772101
"4" 4 141.841653745707
"5" 5 144.7983431175
"6" 6 157.620049140522
"7" 7 138.43819824412
"8" 8 151.16497856455
"9" 9 142.384693352909
"10" 10 145.450154219036
"11" 11 155.306623916434
"12" 12 148.393346164845
"13" 13 148.624059147562
"14" 14 146.994311836497
"15" 15 145.871556680765
"16" 16 148.582212996814
"17" 17 138.086255022073
"18" 18 145.318897232531
"19" 19 140.362370213337
"20" 20 147.80990216877
"21" 21 148.58312497779
"22" 22 146.129259081513
"23" 23 159.317430244559
"24" 24 158.742235409786
"25" 25 141.01655777733
"26" 26 148.922512308187
"27" 27 148.22457960262
"28" 28 144.480722488177
"29" 29 153.013262956768
"30" 30 148.990797004418
"31" 31 158.213915797976
"32" 32 158.967519393185
"33" 33 160.139008843252
"34" 34 156.780464378363
"35" 35 147.13587927899
"36" 36 150.970865903055
"37" 37 145.284652708931
"38" 38 144.393281933466
"39" 39 153.867640360744
"40" 40 153.650389354043
"41" 41 145.024234619015
"42" 42 142.644149488045
"43" 43 150.242426198942
"44" 44 151.915574365997
"45" 45 149.100659833526
"46" 46 153.88510486677
"47" 47 159.126218044019
"48" 48 143.584742310169
"49" 49 148.949514832427
"50" 50 148.042262429893
"51" 51 138.144049420072
"52" 52 147.282596801329
"53" 53 155.589845296036
"54" 54 153.229491710189
"55" 55 152.488995460165
"56" 56 149.869874056656
"57" 57 141.071879391426
"58" 58 149.036371936621
"59" 59 151.259511891237
"60" 60 151.542570877627
"61" 61 149.941616704612
"62" 62 142.471650700854
"63" 63 145.630075108703
"64" 64 146.31531742768
"65" 65 149.213472239338
"66" 66 144.465355343802
"67" 67 148.977298098648
"68" 68 147.854068337954
"69" 69 149.821321012554
"70" 70 145.756335813003
"71" 71 139.226929615275
"72" 72 149.965001224258
"73" 73 154.594516524131
"74" 74 138.825038547099
"75" 75 153.589970004182
"76" 76 155.814189928139
"77" 77 151.494064264172
"78" 78 149.999834052622
"79" 79 148.937712391729
"80" 80 160.548760328661
"81" 81 145.10692973694
"82" 82 157.299019850995
"83" 83 147.653097513211
"84" 84 149.304373010962
"85" 85 144.321878125309
"86" 86 152.294033476271
"87" 87 153.893067189088
"88" 88 154.406868822596
"89" 89 154.566479911784
"90" 90 150.362847858182
"91" 91 149.809013346062
"92" 92 153.961908208674
"93" 93 149.733442162229
"94" 94 158.136743839234
"95" 95 149.225367643304
"96" 96 156.622240692238
"97" 97 152.874226754969
"98" 98 145.162051769656
"99" 99 154.170699564647
"100" 100 153.835763644303
